68 Iteration,  SVHN_CIFAR10,TASK1:0.235,TASK2:0.39625,Done
69 Iteration,  SVHN_CIFAR10,TASK1:0.2025,TASK2:0.42375,Done
70 Iteration,  SVHN_CIFAR10,TASK1:0.17,TASK2:0.42625,Done
71 Iteration,  SVHN_CIFAR10,TASK1:0.225,TASK2:0.41375,Done
72 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.4375,Done
73 Iteration,  SVHN_CIFAR10,TASK1:0.18375,TASK2:0.45875,Done
74 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.41,Done
75 Iteration,  SVHN_CIFAR10,TASK1:0.185,TASK2:0.41,Done
76 Iteration,  SVHN_CIFAR10,TASK1:0.17375,TASK2:0.39625,Done
77 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.40125,Done
78 Iteration,  SVHN_CIFAR10,TASK1:0.1875,TASK2:0.42875,Done
79 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.41,Done
80 Iteration,  SVHN_CIFAR10,TASK1:0.1675,TASK2:0.39,Done
81 Iteration,  SVHN_CIFAR10,TASK1:0.2025,TASK2:0.42625,Done
82 Iteration,  SVHN_CIFAR10,TASK1:0.1825,TASK2:0.42875,Done
83 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.35625,Done
84 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.43375,Done
85 Iteration,  SVHN_CIFAR10,TASK1:0.21625,TASK2:0.39,Done
86 Iteration,  SVHN_CIFAR10,TASK1:0.20625,TASK2:0.425,Done
87 Iteration,  SVHN_CIFAR10,TASK1:0.20625,TASK2:0.4375,Done
88 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.4425,Done
89 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.42,Done
90 Iteration,  SVHN_CIFAR10,TASK1:0.2025,TASK2:0.44875,Done
91 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.44125,Done
92 Iteration,  SVHN_CIFAR10,TASK1:0.205,TASK2:0.42625,Done
93 Iteration,  SVHN_CIFAR10,TASK1:0.16875,TASK2:0.405,Done
94 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.40875,Done
95 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.4375,Done
96 Iteration,  SVHN_CIFAR10,TASK1:0.225,TASK2:0.39125,Done
97 Iteration,  SVHN_CIFAR10,TASK1:0.19375,TASK2:0.44125,Done
98 Iteration,  SVHN_CIFAR10,TASK1:0.2125,TASK2:0.39375,Done
99 Iteration,  SVHN_CIFAR10,TASK1:0.21875,TASK2:0.38,Done
100 Iteration,  SVHN_CIFAR10,TASK1:0.18,TASK2:0.42375,Done
1 Iteration,  SVHN_CIFAR10,TASK1:0.2025,TASK2:0.43375,Done
2 Iteration,  SVHN_CIFAR10,TASK1:0.19875,TASK2:0.38875,Done
3 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.425,Done
4 Iteration,  SVHN_CIFAR10,TASK1:0.18875,TASK2:0.415,Done
5 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.4675,Done
6 Iteration,  SVHN_CIFAR10,TASK1:0.20875,TASK2:0.44125,Done
7 Iteration,  SVHN_CIFAR10,TASK1:0.1825,TASK2:0.4075,Done
8 Iteration,  SVHN_CIFAR10,TASK1:0.19,TASK2:0.4325,Done
9 Iteration,  SVHN_CIFAR10,TASK1:0.18125,TASK2:0.4175,Done
10 Iteration,  SVHN_CIFAR10,TASK1:0.19375,TASK2:0.40875,Done
11 Iteration,  SVHN_CIFAR10,TASK1:0.16625,TASK2:0.41125,Done
12 Iteration,  SVHN_CIFAR10,TASK1:0.18375,TASK2:0.375,Done
13 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.39,Done
14 Iteration,  SVHN_CIFAR10,TASK1:0.2025,TASK2:0.4275,Done
15 Iteration,  SVHN_CIFAR10,TASK1:0.21125,TASK2:0.44875,Done
16 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.42375,Done
17 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.425,Done
18 Iteration,  SVHN_CIFAR10,TASK1:0.175,TASK2:0.42,Done
19 Iteration,  SVHN_CIFAR10,TASK1:0.20875,TASK2:0.44375,Done
20 Iteration,  SVHN_CIFAR10,TASK1:0.1875,TASK2:0.39875,Done
21 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.3975,Done
22 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.44375,Done
23 Iteration,  SVHN_CIFAR10,TASK1:0.18875,TASK2:0.40375,Done
24 Iteration,  SVHN_CIFAR10,TASK1:0.21,TASK2:0.38375,Done
25 Iteration,  SVHN_CIFAR10,TASK1:0.185,TASK2:0.4125,Done
26 Iteration,  SVHN_CIFAR10,TASK1:0.20625,TASK2:0.41,Done
27 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.39375,Done
28 Iteration,  SVHN_CIFAR10,TASK1:0.21125,TASK2:0.45375,Done
29 Iteration,  SVHN_CIFAR10,TASK1:0.2075,TASK2:0.44375,Done
30 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.415,Done
31 Iteration,  SVHN_CIFAR10,TASK1:0.205,TASK2:0.43,Done
32 Iteration,  SVHN_CIFAR10,TASK1:0.20375,TASK2:0.43875,Done
33 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.4025,Done
34 Iteration,  SVHN_CIFAR10,TASK1:0.17875,TASK2:0.40875,Done
35 Iteration,  SVHN_CIFAR10,TASK1:0.18625,TASK2:0.44375,Done
36 Iteration,  SVHN_CIFAR10,TASK1:0.2175,TASK2:0.41,Done
37 Iteration,  SVHN_CIFAR10,TASK1:0.18625,TASK2:0.435,Done
38 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.44125,Done
39 Iteration,  SVHN_CIFAR10,TASK1:0.185,TASK2:0.4275,Done
40 Iteration,  SVHN_CIFAR10,TASK1:0.21125,TASK2:0.415,Done
41 Iteration,  SVHN_CIFAR10,TASK1:0.20875,TASK2:0.41375,Done
42 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.415,Done
43 Iteration,  SVHN_CIFAR10,TASK1:0.205,TASK2:0.4125,Done
44 Iteration,  SVHN_CIFAR10,TASK1:0.19125,TASK2:0.4275,Done
45 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.42125,Done
46 Iteration,  SVHN_CIFAR10,TASK1:0.2075,TASK2:0.36625,Done
47 Iteration,  SVHN_CIFAR10,TASK1:0.21125,TASK2:0.40875,Done
48 Iteration,  SVHN_CIFAR10,TASK1:0.19875,TASK2:0.41125,Done
49 Iteration,  SVHN_CIFAR10,TASK1:0.19125,TASK2:0.38875,Done
50 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.3925,Done
51 Iteration,  SVHN_CIFAR10,TASK1:0.18625,TASK2:0.37625,Done
52 Iteration,  SVHN_CIFAR10,TASK1:0.18,TASK2:0.40875,Done
53 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.43375,Done
54 Iteration,  SVHN_CIFAR10,TASK1:0.18125,TASK2:0.4375,Done
55 Iteration,  SVHN_CIFAR10,TASK1:0.2025,TASK2:0.4175,Done
56 Iteration,  SVHN_CIFAR10,TASK1:0.20375,TASK2:0.45375,Done
57 Iteration,  SVHN_CIFAR10,TASK1:0.1925,TASK2:0.425,Done
58 Iteration,  SVHN_CIFAR10,TASK1:0.185,TASK2:0.42125,Done
59 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.42125,Done
60 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.3825,Done
61 Iteration,  SVHN_CIFAR10,TASK1:0.18625,TASK2:0.43375,Done
62 Iteration,  SVHN_CIFAR10,TASK1:0.18375,TASK2:0.43,Done
63 Iteration,  SVHN_CIFAR10,TASK1:0.20625,TASK2:0.44875,Done
64 Iteration,  SVHN_CIFAR10,TASK1:0.175,TASK2:0.41,Done
65 Iteration,  SVHN_CIFAR10,TASK1:0.19875,TASK2:0.42375,Done
66 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.395,Done
67 Iteration,  SVHN_CIFAR10,TASK1:0.19875,TASK2:0.47625,Done
68 Iteration,  SVHN_CIFAR10,TASK1:0.2,TASK2:0.4025,Done
69 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.415,Done
70 Iteration,  SVHN_CIFAR10,TASK1:0.21625,TASK2:0.43375,Done
71 Iteration,  SVHN_CIFAR10,TASK1:0.19875,TASK2:0.43875,Done
72 Iteration,  SVHN_CIFAR10,TASK1:0.20625,TASK2:0.46375,Done
73 Iteration,  SVHN_CIFAR10,TASK1:0.21,TASK2:0.44375,Done
74 Iteration,  SVHN_CIFAR10,TASK1:0.2,TASK2:0.39375,Done
75 Iteration,  SVHN_CIFAR10,TASK1:0.2,TASK2:0.3975,Done
76 Iteration,  SVHN_CIFAR10,TASK1:0.1875,TASK2:0.41625,Done
77 Iteration,  SVHN_CIFAR10,TASK1:0.1875,TASK2:0.43125,Done
78 Iteration,  SVHN_CIFAR10,TASK1:0.20125,TASK2:0.4075,Done
79 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.405,Done
80 Iteration,  SVHN_CIFAR10,TASK1:0.21125,TASK2:0.385,Done
81 Iteration,  SVHN_CIFAR10,TASK1:0.21,TASK2:0.39375,Done
82 Iteration,  SVHN_CIFAR10,TASK1:0.19125,TASK2:0.4075,Done
83 Iteration,  SVHN_CIFAR10,TASK1:0.20875,TASK2:0.4175,Done
84 Iteration,  SVHN_CIFAR10,TASK1:0.21625,TASK2:0.40375,Done
85 Iteration,  SVHN_CIFAR10,TASK1:0.2125,TASK2:0.3525,Done
86 Iteration,  SVHN_CIFAR10,TASK1:0.2,TASK2:0.39125,Done
87 Iteration,  SVHN_CIFAR10,TASK1:0.1875,TASK2:0.42625,Done
88 Iteration,  SVHN_CIFAR10,TASK1:0.18625,TASK2:0.42375,Done
89 Iteration,  SVHN_CIFAR10,TASK1:0.20625,TASK2:0.435,Done
90 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.43625,Done
91 Iteration,  SVHN_CIFAR10,TASK1:0.1875,TASK2:0.415,Done
92 Iteration,  SVHN_CIFAR10,TASK1:0.19625,TASK2:0.415,Done
93 Iteration,  SVHN_CIFAR10,TASK1:0.1975,TASK2:0.43375,Done
94 Iteration,  SVHN_CIFAR10,TASK1:0.19,TASK2:0.41875,Done
95 Iteration,  SVHN_CIFAR10,TASK1:0.2075,TASK2:0.42125,Done
96 Iteration,  SVHN_CIFAR10,TASK1:0.19125,TASK2:0.41875,Done
97 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.41875,Done
98 Iteration,  SVHN_CIFAR10,TASK1:0.2,TASK2:0.3925,Done
99 Iteration,  SVHN_CIFAR10,TASK1:0.195,TASK2:0.41625,Done
100 Iteration,  SVHN_CIFAR10,TASK1:0.19,TASK2:0.395,Done
